qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
3,42,01,369.21246,362.50385,375.92108,0.0036921247,0.007357053,98259.281,722.89874,489489.19,3841757.8,39.098183,39.08533
4,42,01,415.56619,408.27005,422.86234,0.0041556619,0.0082768807,98123.016,812.15247,488584.69,3815785.5,38.887772,38.887772
5,42,01,478.4343,471.84442,485.02417,0.0047843428,0.0095230518,97863.281,931.95709,486986.5,3732950,38.144543,38.144543
1,47,01,546.48328,539.86121,553.10535,0.0054648328,0.010870154,97971.258,1064.9626,487193.88,3465106.8,35.368603,35.42794
2,47,01,663.32117,655.53876,671.10358,0.0066332119,0.013178812,97718.414,1287.8126,485372.53,3390947.8,34.701218,34.652922
3,47,01,748.14911,738.46375,757.83441,0.0074814907,0.014851592,97536.383,1448.5707,484060.47,3352268.8,34.369438,34.386013
4,47,01,822.13147,811.74249,832.52039,0.0082213143,0.016308187,97310.859,1586.9636,482586.91,3327201,34.191467,34.191465
5,47,01,929.76837,919.49188,940.04492,0.0092976838,0.018423541,96931.32,1785.8181,480192.06,3245963.5,33.487251,33.487251
1,52,01,1077.0026,1067.3557,1086.6494,0.010770026,0.02130972,96906.297,2065.0461,479368.88,2977913,30.729818,30.892509
2,52,01,1315.2716,1303.7999,1326.7433,0.013152716,0.025962457,96430.602,2503.5754,475894.06,2905575.3,30.131256,30.178122
3,52,01,1433.8359,1419.6729,1447.999,0.014338359,0.028269444,96087.813,2716.3491,473648.19,2868208.3,29.849882,29.874034
4,52,01,1534.092,1519.7272,1548.4569,0.015340921,0.03021593,95723.898,2892.3867,471388.53,2844614,29.716862,29.716863
5,52,01,1702.1078,1687.0305,1717.1851,0.017021079,0.033469241,95145.5,3184.4475,467766.38,2765771.3,29.068861,29.068861
1,57,01,1694.7107,1681.0012,1708.4202,0.016947107,0.033326242,94841.25,3160.7024,466304.5,2498544,26.344484,26.560537
2,57,01,2032.0034,2015.9954,2048.0117,0.020320034,0.039825335,93927.023,3740.6753,460283.44,2429681.3,25.867756,25.941707
3,57,01,2178.1348,2159.623,2196.6462,0.021781348,0.042627472,93371.461,3980.1892,456906.84,2394560,25.645542,25.675384
4,57,01,2283.1838,2264.4456,2301.9219,0.022831839,0.044636782,92831.516,4143.7002,453798.31,2373225.5,25.564867,25.564867
5,57,01,2511.302,2491.3066,2531.2976,0.02511302,0.048985567,91961.055,4504.7642,448543.38,2298005,24.988894,24.988894
1,62,01,2350.3218,2331.666,2368.9775,0.023503218,0.045918744,91680.547,4209.8555,447878.09,2032239.5,22.166527,22.405414
2,62,01,2716.6604,2696.6697,2736.6509,0.027166603,0.052883532,90186.352,4769.3726,439008.31,1969397.6,21.836983,21.945
3,62,01,2904.8862,2882.1438,2927.6289,0.029048864,0.056442268,89391.273,5045.4458,434342.75,1937653.1,21.676107,21.72703
4,62,01,3001.9565,2980.1484,3023.7649,0.030019566,0.058272321,88687.813,5168.0444,430518.94,1919427.1,21.642513,21.642512
5,62,01,3293.9377,3271.8718,3316.0037,0.032939378,0.063755631,87456.289,5575.8311,423341.88,1849461.6,21.147268,21.147267
1,67,01,3409.4753,3383.5759,3435.3748,0.034094755,0.065916561,87470.688,5765.7671,422939.03,1584361.4,18.113054,18.385354
2,67,01,3782.9739,3757.3943,3808.5535,0.037829738,0.072868139,85416.977,6224.1763,411524.44,1530389.4,17.916689,18.047704
3,67,01,4039.2012,4010.9138,4067.4885,0.040392011,0.077607118,84345.828,6545.8364,405364.56,1503310.5,17.823195,17.876767
4,67,01,4131.8354,4106.7866,4156.8848,0.041318357,0.07931444,83519.766,6624.3232,401038.03,1488908.1,17.827015,17.827016
5,67,01,4514.7373,4490.4897,4538.9849,0.045147374,0.086338155,81880.461,7069.4077,391728.78,1426119.8,17.417095,17.417095
1,72,01,5895.7495,5851.9922,5939.5068,0.058957495,0.1112284,81704.922,9087.9072,385804.84,1161422.4,14.214839,14.528956
2,72,01,6323.1768,6282.8208,6363.5327,0.063231766,0.11879372,79192.797,9407.6064,372444.97,1118864.9,14.128367,14.2715
3,72,01,6678.0249,6635.6201,6720.4297,0.066780247,0.12502547,77799.992,9726.9814,364682.53,1097945.9,14.112438,14.171599
4,72,01,6776.0322,6741.6743,6810.3906,0.067760326,0.12673888,76895.445,9745.6426,360113.13,1087870.1,14.147394,14.147395
5,72,01,7314.5244,7279.7041,7349.3442,0.073145241,0.13609329,74811.055,10181.282,348602.06,1034390.9,13.826713,13.826713
1,77,01,11775.876,11704.659,11847.093,0.11775876,0.20983818,72617.016,15237.822,324990.53,775617.5,10.680933,11.039709
